id_cliente,nombre,apellidos,dni,email,telefono,fecha_registro
31,Carlos,Fernández,20400030,cliento30@gmail.com,907000030,2025-04-28 00:10:50.882279
32,Pedro,García,20400031,cliento31@gmail.com,907000031,2025-06-08 07:02:26.630541
33,José,Gómez,20400032,cliento32@gmail.com,907000032,2025-03-22 03:02:32.064556
34,Lucía,Flores,20400033,cliento33@gmail.com,907000033,2025-05-31 20:58:25.020552
35,Ana,Cruz,20400034,cliento34@gmail.com,907000034,2025-07-14 12:01:11.559874
36,Carlos,Flores,20400035,cliento35@gmail.com,907000035,2024-12-22 12:19:45.499651
37,José,Ramírez,20400036,cliento36@gmail.com,907000036,2025-04-05 07:54:30.499149
38,Pedro,Gómez,20400037,cliento37@gmail.com,907000037,2025-04-01 16:26:00.791175
39,Diana,Rojas,20400038,cliento38@gmail.com,907000038,2024-10-20 12:22:50.398538
40,Ana,García,20400039,cliento39@gmail.com,907000039,2025-04-26 07:31:24.688497
41,Luis,Salazar,20400040,cliento40@gmail.com,907000040,2024-11-09 07:09:08.540239
42,Luis,Fernández,20400041,cliento41@gmail.com,907000041,2024-11-15 01:14:27.644122
43,José,Cruz,20400042,cliento42@gmail.com,907000042,2024-10-21 04:09:53.074077
44,Pedro,Salazar,20400043,cliento43@gmail.com,907000043,2025-01-15 22:08:09.351025
45,José,Salazar,20400044,cliento44@gmail.com,907000044,2025-04-01 15:54:33.767557
46,Juan,Cruz,20400045,cliento45@gmail.com,907000045,2025-08-24 23:50:56.873206
47,Ana,Flores,20400046,cliento46@gmail.com,907000046,2025-01-16 20:34:54.870631
48,Diana,Rojas,20400047,cliento47@gmail.com,907000047,2025-05-07 19:15:41.285929
49,Pedro,Fernández,20400048,cliento48@gmail.com,907000048,2025-03-08 03:55:54.735998
50,Diana,Gómez,20400049,cliento49@gmail.com,907000049,2025-07-09 05:17:50.69915
51,Ana,Ramírez,20400050,cliento50@gmail.com,907000050,2024-12-07 02:01:02.840693
52,Ana,Cruz,20400051,cliento51@gmail.com,907000051,2025-04-22 06:36:01.737107
53,Ana,Pérez,20400052,cliento52@gmail.com,907000052,2025-01-10 07:58:38.944555
54,Luis,Fernández,20400053,cliento53@gmail.com,907000053,2025-04-09 12:22:57.615239
55,Pedro,Gómez,20400054,cliento54@gmail.com,907000054,2025-03-08 19:43:33.003717
56,Lucía,Fernández,20400055,cliento55@gmail.com,907000055,2024-09-14 00:11:04.41581
57,Carlos,Torres,20400056,cliento56@gmail.com,907000056,2025-06-21 08:39:50.985335
58,Luis,Cruz,20400057,cliento57@gmail.com,907000057,2025-02-06 01:35:52.73052
59,José,Gómez,20400058,cliento58@gmail.com,907000058,2025-03-03 01:08:15.369947
60,Diana,Fernández,20400059,cliento59@gmail.com,907000059,2025-03-29 15:44:50.11107
61,Luis,Fernández,20400060,cliento60@gmail.com,907000060,2025-06-26 19:53:48.526117
62,Ana,Flores,20400061,cliento61@gmail.com,907000061,2024-12-27 12:37:13.428372
63,Luis,Fernández,20400062,cliento62@gmail.com,907000062,2024-12-30 07:55:45.798395
64,Ana,Cruz,20400063,cliento63@gmail.com,907000063,2024-11-21 02:28:00.817995
65,Lucía,Torres,20400064,cliento64@gmail.com,907000064,2025-08-25 14:51:14.135256
66,Luis,Pérez,20400065,cliento65@gmail.com,907000065,2025-06-23 11:17:17.308977
67,Juan,Rojas,20400066,cliento66@gmail.com,907000066,2025-07-21 15:38:49.551273
68,José,Ramírez,20400067,cliento67@gmail.com,907000067,2025-01-04 00:07:40.038428
69,Lucía,Salazar,20400068,cliento68@gmail.com,907000068,2025-08-26 07:14:04.053495
70,Juan,Salazar,20400069,cliento69@gmail.com,907000069,2024-12-26 10:42:29.573676
71,Luis,García,20400070,cliento70@gmail.com,907000070,2025-05-13 17:41:08.98569
72,Rosa,Salazar,20400071,cliento71@gmail.com,907000071,2025-03-04 19:37:50.092852
73,María,Fernández,20400072,cliento72@gmail.com,907000072,2025-08-27 09:07:25.156284
74,Lucía,Fernández,20400073,cliento73@gmail.com,907000073,2024-11-14 11:11:17.484879
75,Juan,Gómez,20400074,cliento74@gmail.com,907000074,2024-12-14 14:16:40.066336
76,Pedro,Cruz,20400075,cliento75@gmail.com,907000075,2025-03-21 00:37:52.421701
77,Carlos,Ramírez,20400076,cliento76@gmail.com,907000076,2025-06-12 01:47:12.540159
78,Lucía,Pérez,20400077,cliento77@gmail.com,907000077,2025-04-04 07:59:08.078873
79,Juan,Gómez,20400078,cliento78@gmail.com,907000078,2025-03-23 10:07:00.846654
80,Pedro,Torres,20400079,cliento79@gmail.com,907000079,2024-09-20 21:16:20.806527
81,María,Ramírez,20400080,cliento80@gmail.com,907000080,2025-08-09 03:26:06.404169
82,Ana,García,20400081,cliento81@gmail.com,907000081,2025-04-16 18:50:59.448835
83,Pedro,Salazar,20400082,cliento82@gmail.com,907000082,2024-09-23 22:08:03.653046
84,Rosa,García,20400083,cliento83@gmail.com,907000083,2024-09-07 09:12:56.561302
85,Rosa,Salazar,20400084,cliento84@gmail.com,907000084,2025-09-04 17:37:09.0335
86,Ana,Gómez,20400085,cliento85@gmail.com,907000085,2025-05-20 17:23:15.363383
87,Lucía,Torres,20400086,cliento86@gmail.com,907000086,2025-04-08 08:04:53.394597
88,Ana,Pérez,20400087,cliento87@gmail.com,907000087,2024-10-13 04:23:53.56628
89,Carlos,Fernández,20400088,cliento88@gmail.com,907000088,2025-03-20 22:29:14.101679
90,José,García,20400089,cliento89@gmail.com,907000089,2024-12-13 12:45:02.142433
91,Rosa,Fernández,20400090,cliento90@gmail.com,907000090,2025-01-18 20:05:52.747128
92,José,Fernández,20400091,cliento91@gmail.com,907000091,2025-03-24 04:14:21.26725
93,Ana,Pérez,20400092,cliento92@gmail.com,907000092,2025-09-05 20:30:35.956038
94,María,Ramírez,20400093,cliento93@gmail.com,907000093,2025-02-14 08:00:21.973433
95,Carlos,Torres,20400094,cliento94@gmail.com,907000094,2025-07-26 15:49:54.332297
96,Juan,Salazar,20400095,cliento95@gmail.com,907000095,2024-09-20 08:09:23.834191
97,José,García,20400096,cliento96@gmail.com,907000096,2025-06-13 14:20:58.018646
98,José,Fernández,20400097,cliento97@gmail.com,907000097,2025-08-17 12:45:27.639653
99,Carlos,Pérez,20400098,cliento98@gmail.com,907000098,2025-07-07 04:25:12.592346
100,Luis,Torres,20400099,cliento99@gmail.com,907000099,2025-01-09 14:52:10.187051
101,Lucía,Cruz,20400100,cliento100@gmail.com,907000100,2025-04-19 11:45:57.992288
102,José,Fernández,20400101,cliento101@gmail.com,907000101,2024-11-03 17:16:07.437911
103,Ana,Salazar,20400102,cliento102@gmail.com,907000102,2024-11-18 10:25:33.784985
104,Diana,Cruz,20400103,cliento103@gmail.com,907000103,2025-03-10 15:21:51.966721
105,Pedro,Gómez,20400104,cliento104@gmail.com,907000104,2025-08-29 05:57:59.315033
106,Diana,Ramírez,20400105,cliento105@gmail.com,907000105,2025-04-13 13:55:55.833051
107,Pedro,Pérez,20400106,cliento106@gmail.com,907000106,2024-09-17 23:19:03.225336
108,Juan,García,20400107,cliento107@gmail.com,907000107,2025-09-06 13:39:39.486784
109,Juan,Gómez,20400108,cliento108@gmail.com,907000108,2025-02-23 03:26:49.536422
110,Pedro,Pérez,20400109,cliento109@gmail.com,907000109,2025-02-06 08:02:42.739959
111,Ana,Rojas,20400110,cliento110@gmail.com,907000110,2025-05-28 05:45:56.389516
112,Diana,Gómez,20400111,cliento111@gmail.com,907000111,2024-10-08 15:45:11.150519
113,Pedro,Flores,20400112,cliento112@gmail.com,907000112,2025-04-29 13:52:37.746666
114,José,Fernández,20400113,cliento113@gmail.com,907000113,2024-09-16 12:26:40.521367
115,Carlos,García,20400114,cliento114@gmail.com,907000114,2025-07-21 18:27:14.046023
116,Luis,Flores,20400115,cliento115@gmail.com,907000115,2025-01-24 12:01:33.187595
117,José,Pérez,20400116,cliento116@gmail.com,907000116,2024-11-27 20:21:05.80916
118,Lucía,Gómez,20400117,cliento117@gmail.com,907000117,2024-12-22 05:56:56.038091
119,Juan,Fernández,20400118,cliento118@gmail.com,907000118,2025-02-09 23:31:03.573041
120,Ana,Flores,20400119,cliento119@gmail.com,907000119,2025-08-21 02:44:46.925929
121,Diana,Pérez,20400120,cliento120@gmail.com,907000120,2024-12-08 17:36:36.550775
122,José,Salazar,20400121,cliento121@gmail.com,907000121,2024-10-25 21:26:37.518835
123,Carlos,Gómez,20400122,cliento122@gmail.com,907000122,2024-12-16 23:54:52.723795
124,Pedro,Salazar,20400123,cliento123@gmail.com,907000123,2024-11-18 03:30:01.034326
125,Ana,Cruz,20400124,cliento124@gmail.com,907000124,2025-03-27 02:18:43.55699
126,Ana,Flores,20400125,cliento125@gmail.com,907000125,2025-04-30 00:27:22.394252
127,José,Gómez,20400126,cliento126@gmail.com,907000126,2025-07-07 12:55:47.239993
128,Rosa,Pérez,20400127,cliento127@gmail.com,907000127,2025-01-22 04:27:15.105212
129,Luis,García,20400128,cliento128@gmail.com,907000128,2025-05-02 03:58:27.951847
130,José,Torres,20400129,cliento129@gmail.com,907000129,2025-08-30 09:57:02.014809
131,Luis,Fernández,20400130,cliento130@gmail.com,907000130,2025-05-30 02:33:48.036148
132,Pedro,Ramírez,20400131,cliento131@gmail.com,907000131,2024-12-03 03:19:20.596707
133,Juan,Salazar,20400132,cliento132@gmail.com,907000132,2025-08-24 08:01:38.625166
134,Juan,Cruz,20400133,cliento133@gmail.com,907000133,2025-03-16 21:49:35.35637
135,Lucía,Gómez,20400134,cliento134@gmail.com,907000134,2024-09-11 02:42:01.023991
136,Rosa,Pérez,20400135,cliento135@gmail.com,907000135,2025-02-27 15:10:34.593077
137,Juan,Flores,20400136,cliento136@gmail.com,907000136,2025-02-21 20:19:01.102873
138,José,Rojas,20400137,cliento137@gmail.com,907000137,2024-10-05 02:09:06.496888
139,Lucía,Gómez,20400138,cliento138@gmail.com,907000138,2025-03-16 17:28:15.606051
140,José,Cruz,20400139,cliento139@gmail.com,907000139,2025-07-18 04:01:06.241497
141,José,García,20400140,cliento140@gmail.com,907000140,2024-11-12 19:21:08.525769
142,Carlos,García,20400141,cliento141@gmail.com,907000141,2024-10-15 10:16:43.170172
143,María,Cruz,20400142,cliento142@gmail.com,907000142,2024-11-27 04:01:49.382402
144,Ana,Pérez,20400143,cliento143@gmail.com,907000143,2025-03-21 21:34:33.652839
145,Rosa,García,20400144,cliento144@gmail.com,907000144,2025-06-29 12:27:43.663687
146,María,Cruz,20400145,cliento145@gmail.com,907000145,2024-12-01 15:57:25.765675
147,Ana,Ramírez,20400146,cliento146@gmail.com,907000146,2025-02-14 07:41:31.525018
148,María,Pérez,20400147,cliento147@gmail.com,907000147,2024-10-09 22:01:05.78257
149,Lucía,Cruz,20400148,cliento148@gmail.com,907000148,2025-02-01 17:38:33.874339
150,Luis,Rojas,20400149,cliento149@gmail.com,907000149,2024-12-25 07:34:34.60242
151,Lucía,Torres,20400150,cliento150@gmail.com,907000150,2025-02-17 16:41:02.283023
152,Carlos,García,20400151,cliento151@gmail.com,907000151,2024-10-27 11:47:58.515183
153,Ana,Rojas,20400152,cliento152@gmail.com,907000152,2025-02-25 14:18:57.223594
154,Luis,Fernández,20400153,cliento153@gmail.com,907000153,2025-06-20 06:47:45.472655
155,Carlos,Fernández,20400154,cliento154@gmail.com,907000154,2025-01-31 03:11:41.233885
156,Pedro,Gómez,20400155,cliento155@gmail.com,907000155,2025-04-01 11:13:41.946947
157,Carlos,García,20400156,cliento156@gmail.com,907000156,2025-06-04 12:13:38.538513
158,José,Ramírez,20400157,cliento157@gmail.com,907000157,2024-11-27 01:52:18.654224
159,Pedro,Fernández,20400158,cliento158@gmail.com,907000158,2024-12-12 21:59:12.069653
160,Ana,Rojas,20400159,cliento159@gmail.com,907000159,2025-03-23 22:45:29.28435
161,Carlos,Flores,20400160,cliento160@gmail.com,907000160,2025-05-25 09:59:14.165645
162,Rosa,Fernández,20400161,cliento161@gmail.com,907000161,2025-07-24 20:57:12.20846
163,Pedro,Torres,20400162,cliento162@gmail.com,907000162,2025-07-26 23:31:32.797072
164,José,Rojas,20400163,cliento163@gmail.com,907000163,2025-03-07 16:22:12.210241
165,Diana,Torres,20400164,cliento164@gmail.com,907000164,2025-04-02 23:52:34.067651
166,Ana,Pérez,20400165,cliento165@gmail.com,907000165,2025-06-24 22:33:12.512339
167,José,Ramírez,20400166,cliento166@gmail.com,907000166,2025-02-23 15:18:56.638803
168,Luis,Pérez,20400167,cliento167@gmail.com,907000167,2024-11-29 07:41:03.732278
169,María,Flores,20400168,cliento168@gmail.com,907000168,2025-03-13 20:44:29.236291
170,Diana,Flores,20400169,cliento169@gmail.com,907000169,2025-03-09 02:00:48.131238
171,Pedro,Gómez,20400170,cliento170@gmail.com,907000170,2025-06-22 14:00:18.390281
172,Ana,García,20400171,cliento171@gmail.com,907000171,2024-11-02 12:30:22.01024
173,Ana,Rojas,20400172,cliento172@gmail.com,907000172,2025-06-12 18:25:00.61052
174,Juan,Cruz,20400173,cliento173@gmail.com,907000173,2025-09-05 12:27:50.944209
175,Ana,Pérez,20400174,cliento174@gmail.com,907000174,2025-07-10 08:47:00.344919
176,Rosa,Ramírez,20400175,cliento175@gmail.com,907000175,2025-01-30 09:05:43.662974
177,Pedro,Torres,20400176,cliento176@gmail.com,907000176,2025-08-15 17:06:41.262614
178,José,Ramírez,20400177,cliento177@gmail.com,907000177,2025-02-20 22:33:58.672767
179,Pedro,García,20400178,cliento178@gmail.com,907000178,2025-05-09 01:45:15.849124
180,Luis,Fernández,20400179,cliento179@gmail.com,907000179,2025-08-28 17:47:36.566747
181,Lucía,Pérez,20400180,cliento180@gmail.com,907000180,2024-09-13 09:02:38.260792
182,Juan,Pérez,20400181,cliento181@gmail.com,907000181,2025-07-12 13:38:40.12095
183,José,Torres,20400182,cliento182@gmail.com,907000182,2025-06-01 09:31:04.510706
184,Lucía,Cruz,20400183,cliento183@gmail.com,907000183,2024-09-18 16:25:04.812884
185,Lucía,Rojas,20400184,cliento184@gmail.com,907000184,2025-08-14 18:18:01.664848
186,Lucía,Flores,20400185,cliento185@gmail.com,907000185,2024-12-25 04:00:17.639584
187,Rosa,Rojas,20400186,cliento186@gmail.com,907000186,2024-09-17 10:53:11.225036
188,Luis,Cruz,20400187,cliento187@gmail.com,907000187,2025-07-25 19:11:25.231986
189,María,Pérez,20400188,cliento188@gmail.com,907000188,2025-04-01 04:57:48.695521
190,Pedro,Torres,20400189,cliento189@gmail.com,907000189,2024-12-25 07:27:31.415931
191,José,Fernández,20400190,cliento190@gmail.com,907000190,2025-07-22 19:33:51.307957
192,Diana,García,20400191,cliento191@gmail.com,907000191,2024-10-14 10:29:06.922558
193,Carlos,García,20400192,cliento192@gmail.com,907000192,2025-07-06 07:40:47.967863
194,Luis,Pérez,20400193,cliento193@gmail.com,907000193,2025-07-09 17:26:10.904615
195,José,Fernández,20400194,cliento194@gmail.com,907000194,2025-03-22 10:51:54.964841
196,Carlos,Ramírez,20400195,cliento195@gmail.com,907000195,2025-01-15 10:11:21.528362
197,José,Rojas,20400196,cliento196@gmail.com,907000196,2024-10-20 05:23:00.573095
198,Juan,Ramírez,20400197,cliento197@gmail.com,907000197,2024-09-16 18:05:58.380278
199,Luis,Fernández,20400198,cliento198@gmail.com,907000198,2024-10-12 10:03:52.134553
200,Ana,Flores,20400199,cliento199@gmail.com,907000199,2025-04-10 04:26:44.344683
201,Carlos,Flores,20400200,cliento200@gmail.com,907000200,2024-12-30 00:42:25.769171
202,Luis,Fernández,20400201,cliento201@gmail.com,907000201,2024-10-25 06:20:37.404582
203,Lucía,García,20400202,cliento202@gmail.com,907000202,2025-06-02 08:30:01.836395
204,Lucía,Gómez,20400203,cliento203@gmail.com,907000203,2025-03-16 06:31:34.759849
205,Ana,Rojas,20400204,cliento204@gmail.com,907000204,2024-12-15 12:22:28.663825
206,Diana,Cruz,20400205,cliento205@gmail.com,907000205,2025-02-24 14:44:41.083832
207,Rosa,Salazar,20400206,cliento206@gmail.com,907000206,2024-10-16 02:34:27.644292
208,Rosa,Cruz,20400207,cliento207@gmail.com,907000207,2024-09-10 23:33:23.240524
209,Diana,Fernández,20400208,cliento208@gmail.com,907000208,2025-05-22 13:11:21.439284
210,Carlos,Rojas,20400209,cliento209@gmail.com,907000209,2025-02-17 15:45:16.368272
211,Diana,Fernández,20400210,cliento210@gmail.com,907000210,2025-01-30 19:17:42.17339
212,María,Pérez,20400211,cliento211@gmail.com,907000211,2024-12-02 08:40:56.147648
213,Lucía,Salazar,20400212,cliento212@gmail.com,907000212,2025-08-02 12:59:45.534325
214,Rosa,García,20400213,cliento213@gmail.com,907000213,2025-08-10 04:10:01.806884
215,María,Fernández,20400214,cliento214@gmail.com,907000214,2024-11-20 18:08:32.113977
216,Pedro,Torres,20400215,cliento215@gmail.com,907000215,2024-10-17 22:05:32.824703
217,Juan,Fernández,20400216,cliento216@gmail.com,907000216,2024-11-20 16:35:38.648248
218,Pedro,Gómez,20400217,cliento217@gmail.com,907000217,2024-12-15 04:42:23.517468
219,Carlos,Ramírez,20400218,cliento218@gmail.com,907000218,2025-08-30 03:17:59.742674
220,Juan,Gómez,20400219,cliento219@gmail.com,907000219,2025-05-25 07:48:51.632685
221,José,Torres,20400220,cliento220@gmail.com,907000220,2025-03-15 10:45:10.441667
222,María,Torres,20400221,cliento221@gmail.com,907000221,2025-07-11 15:09:06.87892
223,Carlos,Ramírez,20400222,cliento222@gmail.com,907000222,2025-03-17 22:37:37.820003
224,Pedro,Pérez,20400223,cliento223@gmail.com,907000223,2025-07-16 06:21:37.254474
225,María,Pérez,20400224,cliento224@gmail.com,907000224,2025-06-08 00:15:20.793491
226,Carlos,García,20400225,cliento225@gmail.com,907000225,2025-03-16 18:22:01.701959
227,Carlos,Fernández,20400226,cliento226@gmail.com,907000226,2024-12-29 06:21:57.424583
228,Luis,Torres,20400227,cliento227@gmail.com,907000227,2025-02-07 04:44:53.291585
229,Pedro,Flores,20400228,cliento228@gmail.com,907000228,2025-04-07 23:58:04.911384
230,María,Salazar,20400229,cliento229@gmail.com,907000229,2025-05-25 18:32:25.081722
231,Luis,Torres,20400230,cliento230@gmail.com,907000230,2025-01-05 01:14:20.056889
232,Diana,Gómez,20400231,cliento231@gmail.com,907000231,2025-06-12 09:49:21.056494
233,José,Flores,20400232,cliento232@gmail.com,907000232,2024-12-16 10:51:05.157283
234,José,Rojas,20400233,cliento233@gmail.com,907000233,2025-04-14 22:59:39.877763
235,José,Pérez,20400234,cliento234@gmail.com,907000234,2025-05-29 03:31:52.162623
236,María,Rojas,20400235,cliento235@gmail.com,907000235,2024-11-16 13:03:22.302428
237,José,Pérez,20400236,cliento236@gmail.com,907000236,2025-08-17 02:11:29.164228
238,Lucía,Rojas,20400237,cliento237@gmail.com,907000237,2025-08-08 12:54:08.44362
239,Pedro,Pérez,20400238,cliento238@gmail.com,907000238,2025-02-13 21:28:19.938299
240,Ana,Fernández,20400239,cliento239@gmail.com,907000239,2024-11-07 15:27:07.860933
241,Ana,Fernández,20400240,cliento240@gmail.com,907000240,2024-12-12 19:13:14.833582
242,Pedro,Torres,20400241,cliento241@gmail.com,907000241,2025-03-20 15:27:31.406435
243,María,Cruz,20400242,cliento242@gmail.com,907000242,2025-07-28 22:38:40.075797
244,Diana,García,20400243,cliento243@gmail.com,907000243,2024-12-08 17:15:15.592185
245,Ana,Flores,20400244,cliento244@gmail.com,907000244,2025-04-03 03:26:09.915931
246,Lucía,Gómez,20400245,cliento245@gmail.com,907000245,2024-09-16 11:08:09.413224
247,Juan,Salazar,20400246,cliento246@gmail.com,907000246,2024-09-15 09:45:57.13496
248,Carlos,Flores,20400247,cliento247@gmail.com,907000247,2024-10-25 06:34:26.551305
249,Carlos,Pérez,20400248,cliento248@gmail.com,907000248,2024-10-25 02:37:15.226721
250,Lucía,Torres,20400249,cliento249@gmail.com,907000249,2025-01-29 12:49:56.701087
251,Diana,García,20400250,cliento250@gmail.com,907000250,2025-04-25 02:17:59.402822
252,Luis,Salazar,20400251,cliento251@gmail.com,907000251,2024-11-10 17:42:54.840438
253,Ana,Torres,20400252,cliento252@gmail.com,907000252,2025-07-16 09:51:54.376834
254,Ana,Ramírez,20400253,cliento253@gmail.com,907000253,2025-03-22 09:40:01.926664
255,María,Flores,20400254,cliento254@gmail.com,907000254,2024-10-04 04:06:31.301454
256,Rosa,Ramírez,20400255,cliento255@gmail.com,907000255,2025-04-18 03:43:31.695769
257,Carlos,Gómez,20400256,cliento256@gmail.com,907000256,2025-04-06 18:03:10.941942
258,Carlos,Ramírez,20400257,cliento257@gmail.com,907000257,2025-01-18 06:50:55.299038
259,Rosa,García,20400258,cliento258@gmail.com,907000258,2024-09-15 08:57:11.237802
260,Diana,Torres,20400259,cliento259@gmail.com,907000259,2025-04-27 01:34:44.682408
261,Diana,Flores,20400260,cliento260@gmail.com,907000260,2025-07-21 11:22:11.205899
262,Diana,Rojas,20400261,cliento261@gmail.com,907000261,2025-06-29 12:10:46.036248
263,Pedro,Rojas,20400262,cliento262@gmail.com,907000262,2025-05-12 22:51:37.077605
264,María,Torres,20400263,cliento263@gmail.com,907000263,2025-07-17 21:23:32.838676
265,José,Gómez,20400264,cliento264@gmail.com,907000264,2025-03-22 06:43:24.708244
266,Pedro,Salazar,20400265,cliento265@gmail.com,907000265,2025-01-16 07:33:55.042703
267,Diana,Torres,20400266,cliento266@gmail.com,907000266,2025-05-24 11:27:16.26884
268,Lucía,García,20400267,cliento267@gmail.com,907000267,2025-02-01 06:53:41.897268
269,Ana,Ramírez,20400268,cliento268@gmail.com,907000268,2024-09-11 04:54:20.617389
270,Pedro,Ramírez,20400269,cliento269@gmail.com,907000269,2025-03-11 07:02:26.606931
271,Luis,Flores,20400270,cliento270@gmail.com,907000270,2024-11-21 19:00:04.377159
272,Lucía,García,20400271,cliento271@gmail.com,907000271,2025-06-17 05:50:05.43761
273,Luis,Fernández,20400272,cliento272@gmail.com,907000272,2025-05-18 11:48:58.266515
274,Lucía,Cruz,20400273,cliento273@gmail.com,907000273,2025-01-06 07:55:45.083237
275,Juan,Gómez,20400274,cliento274@gmail.com,907000274,2025-08-21 01:34:43.794787
276,Rosa,Flores,20400275,cliento275@gmail.com,907000275,2025-04-17 16:01:38.949842
277,Luis,Pérez,20400276,cliento276@gmail.com,907000276,2024-12-05 07:30:40.540735
278,Juan,Pérez,20400277,cliento277@gmail.com,907000277,2025-01-10 11:25:41.811021
279,Luis,Cruz,20400278,cliento278@gmail.com,907000278,2025-08-27 08:46:48.944217
280,Lucía,Gómez,20400279,cliento279@gmail.com,907000279,2025-01-20 22:08:29.781206
281,Juan,Fernández,20400280,cliento280@gmail.com,907000280,2025-08-19 16:59:35.388187
282,Carlos,Gómez,20400281,cliento281@gmail.com,907000281,2024-09-17 18:35:52.59029
283,Pedro,Salazar,20400282,cliento282@gmail.com,907000282,2025-02-02 23:35:02.365472
284,Diana,García,20400283,cliento283@gmail.com,907000283,2025-04-11 19:55:51.082314
285,José,Pérez,20400284,cliento284@gmail.com,907000284,2024-10-24 02:26:07.90995
286,Pedro,García,20400285,cliento285@gmail.com,907000285,2025-06-13 10:57:07.605293
287,Juan,Salazar,20400286,cliento286@gmail.com,907000286,2025-02-05 10:53:42.885923
288,José,Salazar,20400287,cliento287@gmail.com,907000287,2025-07-31 03:58:57.526411
289,Carlos,Cruz,20400288,cliento288@gmail.com,907000288,2024-12-15 10:31:36.338871
290,Lucía,Salazar,20400289,cliento289@gmail.com,907000289,2024-11-08 21:04:48.584716
291,Diana,Ramírez,20400290,cliento290@gmail.com,907000290,2025-05-25 14:48:46.254156
292,Juan,Ramírez,20400291,cliento291@gmail.com,907000291,2025-05-13 23:55:49.671347
293,Juan,Pérez,20400292,cliento292@gmail.com,907000292,2024-12-11 14:30:18.59318
294,Ana,Gómez,20400293,cliento293@gmail.com,907000293,2025-05-05 21:29:47.55229
295,Ana,Pérez,20400294,cliento294@gmail.com,907000294,2024-12-01 09:57:45.007769
296,María,García,20400295,cliento295@gmail.com,907000295,2025-01-28 12:32:39.934027
297,Pedro,Torres,20400296,cliento296@gmail.com,907000296,2025-05-29 07:42:54.00859
298,Luis,García,20400297,cliento297@gmail.com,907000297,2024-10-21 17:40:45.624943
299,Lucía,Gómez,20400298,cliento298@gmail.com,907000298,2024-11-01 19:55:27.271343
300,Carlos,Rojas,20400299,cliento299@gmail.com,907000299,2024-12-25 21:20:10.05504
301,María,Torres,20400300,cliento300@gmail.com,907000300,2025-05-13 07:39:44.080038
302,Luis,Salazar,20400301,cliento301@gmail.com,907000301,2025-01-08 00:00:42.663771
303,Rosa,Pérez,20400302,cliento302@gmail.com,907000302,2025-07-16 16:45:22.781784
304,Luis,Gómez,20400303,cliento303@gmail.com,907000303,2025-06-20 15:22:45.500002
305,Luis,Cruz,20400304,cliento304@gmail.com,907000304,2025-06-24 17:53:39.233273
306,María,Cruz,20400305,cliento305@gmail.com,907000305,2024-12-17 06:01:21.230427
307,Carlos,Flores,20400306,cliento306@gmail.com,907000306,2024-11-21 07:51:08.452769
