id_empleado,nombre,apellidos,dni,cargo,id_tienda,fecha_ingreso
34,Empleado_34,Apellido_34,10000034,Cajero,5,2025-02-21
35,Empleado_35,Apellido_35,10000035,Vendedor,12,2021-06-13
36,Empleado_36,Apellido_36,10000036,Cajero,5,2025-08-05
37,Empleado_37,Apellido_37,10000037,Vendedor,12,2025-07-24
38,Empleado_38,Apellido_38,10000038,Cajero,12,2025-05-07
39,Empleado_39,Apellido_39,10000039,Vendedor,11,2023-11-12
40,Empleado_40,Apellido_40,10000040,Cajero,7,2021-09-07
41,Empleado_41,Apellido_41,10000041,Vendedor,8,2022-08-11
42,Empleado_42,Apellido_42,10000042,Cajero,4,2024-09-11
43,Empleado_43,Apellido_43,10000043,Vendedor,5,2023-05-05
44,Empleado_44,Apellido_44,10000044,Cajero,1,2021-08-29
45,Empleado_45,Apellido_45,10000045,Vendedor,14,2022-09-08
46,Empleado_46,Apellido_46,10000046,Cajero,12,2022-02-08
47,Empleado_47,Apellido_47,10000047,Vendedor,9,2022-11-19
48,Empleado_48,Apellido_48,10000048,Cajero,14,2020-12-18
49,Empleado_49,Apellido_49,10000049,Vendedor,9,2021-10-16
50,Empleado_50,Apellido_50,10000050,Cajero,5,2024-06-25
51,Empleado_51,Apellido_51,10000051,Vendedor,4,2024-08-04
52,Empleado_52,Apellido_52,10000052,Cajero,1,2025-05-03
53,Empleado_53,Apellido_53,10000053,Vendedor,9,2022-04-18
54,Empleado_54,Apellido_54,10000054,Cajero,8,2021-09-12
55,Empleado_55,Apellido_55,10000055,Vendedor,7,2025-03-07
56,Empleado_56,Apellido_56,10000056,Cajero,3,2024-10-12
57,Empleado_57,Apellido_57,10000057,Vendedor,11,2021-10-02
58,Empleado_58,Apellido_58,10000058,Cajero,9,2022-12-21
59,Empleado_59,Apellido_59,10000059,Vendedor,4,2023-08-31
60,Empleado_60,Apellido_60,10000060,Cajero,3,2021-11-19
61,Empleado_61,Apellido_61,10000061,Vendedor,11,2021-12-29
62,Empleado_62,Apellido_62,10000062,Cajero,15,2024-12-07
63,Empleado_63,Apellido_63,10000063,Vendedor,15,2024-08-29
64,Empleado_64,Apellido_64,10000064,Cajero,13,2022-08-07
65,Empleado_65,Apellido_65,10000065,Vendedor,5,2021-04-27
66,Empleado_66,Apellido_66,10000066,Cajero,6,2022-09-30
67,Empleado_67,Apellido_67,10000067,Vendedor,2,2022-04-22
68,Empleado_68,Apellido_68,10000068,Cajero,10,2021-09-19
69,Empleado_69,Apellido_69,10000069,Vendedor,2,2021-07-04
70,Empleado_70,Apellido_70,10000070,Cajero,8,2022-07-12
71,Empleado_71,Apellido_71,10000071,Vendedor,6,2025-02-24
72,Empleado_72,Apellido_72,10000072,Cajero,13,2022-01-29
73,Empleado_73,Apellido_73,10000073,Vendedor,6,2024-01-21
74,Empleado_74,Apellido_74,10000074,Cajero,12,2025-01-15
75,Empleado_75,Apellido_75,10000075,Vendedor,8,2024-11-21
76,Empleado_76,Apellido_76,10000076,Cajero,11,2025-08-12
77,Empleado_77,Apellido_77,10000077,Vendedor,5,2020-11-17
78,Empleado_78,Apellido_78,10000078,Cajero,13,2024-09-18
79,Empleado_79,Apellido_79,10000079,Vendedor,12,2021-12-04
80,Empleado_80,Apellido_80,10000080,Cajero,14,2022-01-10
81,Empleado_81,Apellido_81,10000081,Vendedor,13,2025-06-23
82,Empleado_82,Apellido_82,10000082,Cajero,6,2023-12-22
83,Empleado_83,Apellido_83,10000083,Vendedor,14,2021-06-27
84,Empleado_84,Apellido_84,10000084,Cajero,8,2024-10-14
85,Empleado_85,Apellido_85,10000085,Vendedor,15,2024-12-11
86,Empleado_86,Apellido_86,10000086,Cajero,8,2021-05-04
87,Empleado_87,Apellido_87,10000087,Vendedor,12,2024-11-07
88,Empleado_88,Apellido_88,10000088,Cajero,2,2022-08-07
89,Empleado_89,Apellido_89,10000089,Vendedor,14,2021-04-10
90,Empleado_90,Apellido_90,10000090,Cajero,14,2024-06-15
91,Empleado_91,Apellido_91,10000091,Vendedor,10,2021-09-03
92,Empleado_92,Apellido_92,10000092,Cajero,2,2021-02-08
93,Empleado_93,Apellido_93,10000093,Vendedor,2,2025-03-15
94,Empleado_94,Apellido_94,10000094,Cajero,6,2021-06-01
95,Empleado_95,Apellido_95,10000095,Vendedor,7,2024-01-06
96,Empleado_96,Apellido_96,10000096,Cajero,4,2020-09-23
97,Empleado_97,Apellido_97,10000097,Vendedor,4,2022-03-10
98,Empleado_98,Apellido_98,10000098,Cajero,11,2022-03-19
99,Empleado_99,Apellido_99,10000099,Vendedor,9,2024-01-04
100,Empleado_100,Apellido_100,10000100,Cajero,12,2023-03-15
101,Empleado_101,Apellido_101,10000101,Vendedor,4,2023-10-13
102,Empleado_102,Apellido_102,10000102,Cajero,14,2023-08-30
103,Empleado_103,Apellido_103,10000103,Vendedor,9,2021-10-08
104,Empleado_104,Apellido_104,10000104,Cajero,4,2024-07-11
105,Empleado_105,Apellido_105,10000105,Vendedor,11,2025-06-16
106,Empleado_106,Apellido_106,10000106,Cajero,7,2022-08-22
107,Empleado_107,Apellido_107,10000107,Vendedor,6,2022-09-10
108,Empleado_108,Apellido_108,10000108,Cajero,12,2023-03-19
109,Empleado_109,Apellido_109,10000109,Vendedor,1,2025-05-07
110,Empleado_110,Apellido_110,10000110,Cajero,6,2021-02-14
111,Empleado_111,Apellido_111,10000111,Vendedor,1,2023-02-28
112,Empleado_112,Apellido_112,10000112,Cajero,3,2023-05-21
113,Empleado_113,Apellido_113,10000113,Vendedor,12,2023-11-23
114,Empleado_114,Apellido_114,10000114,Cajero,6,2023-12-30
115,Empleado_115,Apellido_115,10000115,Vendedor,9,2022-01-05
116,Empleado_116,Apellido_116,10000116,Cajero,10,2024-01-16
117,Empleado_117,Apellido_117,10000117,Vendedor,12,2024-06-21
118,Empleado_118,Apellido_118,10000118,Cajero,15,2022-02-28
119,Empleado_119,Apellido_119,10000119,Vendedor,3,2025-08-24
120,Empleado_120,Apellido_120,10000120,Cajero,11,2023-05-10
121,Empleado_121,Apellido_121,10000121,Vendedor,14,2023-03-06
122,Empleado_122,Apellido_122,10000122,Cajero,5,2023-07-16
123,Empleado_123,Apellido_123,10000123,Vendedor,11,2020-10-04
124,Empleado_124,Apellido_124,10000124,Cajero,3,2021-08-13
125,Empleado_125,Apellido_125,10000125,Vendedor,12,2024-08-30
126,Empleado_126,Apellido_126,10000126,Cajero,1,2025-05-24
127,Empleado_127,Apellido_127,10000127,Vendedor,4,2021-07-14
128,Empleado_128,Apellido_128,10000128,Cajero,6,2022-07-20
129,Empleado_129,Apellido_129,10000129,Vendedor,6,2024-12-30
130,Empleado_130,Apellido_130,10000130,Cajero,12,2022-10-03
131,Empleado_131,Apellido_131,10000131,Vendedor,13,2021-10-05
132,Empleado_132,Apellido_132,10000132,Cajero,4,2025-07-15
133,Empleado_133,Apellido_133,10000133,Vendedor,13,2021-08-25
134,Empleado_134,Apellido_134,10000134,Cajero,8,2020-10-02
135,Empleado_135,Apellido_135,10000135,Vendedor,13,2022-09-13
136,Empleado_136,Apellido_136,10000136,Cajero,3,2025-07-13
137,Empleado_137,Apellido_137,10000137,Vendedor,6,2022-01-22
138,Empleado_138,Apellido_138,10000138,Cajero,5,2024-11-20
139,Empleado_139,Apellido_139,10000139,Vendedor,5,2025-01-17
140,Empleado_140,Apellido_140,10000140,Cajero,11,2022-04-28
141,Empleado_141,Apellido_141,10000141,Vendedor,6,2024-06-27
142,Empleado_142,Apellido_142,10000142,Cajero,14,2022-04-25
143,Empleado_143,Apellido_143,10000143,Vendedor,10,2021-01-17
144,Empleado_144,Apellido_144,10000144,Cajero,10,2021-01-17
145,Empleado_145,Apellido_145,10000145,Vendedor,9,2025-07-19
146,Empleado_146,Apellido_146,10000146,Cajero,8,2023-05-01
147,Empleado_147,Apellido_147,10000147,Vendedor,7,2024-10-06
148,Empleado_148,Apellido_148,10000148,Cajero,9,2024-12-09
149,Empleado_149,Apellido_149,10000149,Vendedor,3,2024-06-10
150,Empleado_150,Apellido_150,10000150,Cajero,12,2023-06-11
151,Empleado_151,Apellido_151,10000151,Vendedor,8,2024-12-17
152,Empleado_152,Apellido_152,10000152,Cajero,15,2023-05-31
153,Empleado_153,Apellido_153,10000153,Vendedor,11,2023-05-18
154,Empleado_154,Apellido_154,10000154,Cajero,6,2025-07-03
155,Empleado_155,Apellido_155,10000155,Vendedor,11,2022-04-10
156,Empleado_156,Apellido_156,10000156,Cajero,10,2020-11-09
157,Empleado_157,Apellido_157,10000157,Vendedor,5,2025-08-14
158,Empleado_158,Apellido_158,10000158,Cajero,11,2024-02-29
159,Empleado_159,Apellido_159,10000159,Vendedor,13,2025-02-10
160,Empleado_160,Apellido_160,10000160,Cajero,4,2021-05-03
161,Empleado_161,Apellido_161,10000161,Vendedor,7,2023-12-14
162,Empleado_162,Apellido_162,10000162,Cajero,13,2022-04-06
163,Empleado_163,Apellido_163,10000163,Vendedor,3,2025-05-24
164,Empleado_164,Apellido_164,10000164,Cajero,15,2021-05-05
165,Empleado_165,Apellido_165,10000165,Vendedor,12,2025-09-01
166,Empleado_166,Apellido_166,10000166,Cajero,5,2020-09-27
167,Empleado_167,Apellido_167,10000167,Vendedor,9,2022-09-07
168,Empleado_168,Apellido_168,10000168,Cajero,6,2023-06-01
169,Empleado_169,Apellido_169,10000169,Vendedor,10,2022-09-10
170,Empleado_170,Apellido_170,10000170,Cajero,7,2024-12-09
171,Empleado_171,Apellido_171,10000171,Vendedor,8,2023-08-22
172,Empleado_172,Apellido_172,10000172,Cajero,4,2024-12-27
173,Empleado_173,Apellido_173,10000173,Vendedor,8,2025-07-08
174,Empleado_174,Apellido_174,10000174,Cajero,1,2023-05-25
175,Empleado_175,Apellido_175,10000175,Vendedor,4,2022-02-15
176,Empleado_176,Apellido_176,10000176,Cajero,6,2024-03-20
177,Empleado_177,Apellido_177,10000177,Vendedor,1,2025-03-05
178,Empleado_178,Apellido_178,10000178,Cajero,2,2025-05-06
179,Empleado_179,Apellido_179,10000179,Vendedor,11,2023-12-31
180,Empleado_180,Apellido_180,10000180,Cajero,13,2023-06-28
181,Empleado_181,Apellido_181,10000181,Vendedor,8,2024-01-08
182,Empleado_182,Apellido_182,10000182,Cajero,7,2021-10-20
183,Empleado_183,Apellido_183,10000183,Vendedor,5,2024-10-19
184,Empleado_184,Apellido_184,10000184,Cajero,14,2023-05-20
185,Empleado_185,Apellido_185,10000185,Vendedor,9,2023-04-01
186,Empleado_186,Apellido_186,10000186,Cajero,9,2024-07-08
187,Empleado_187,Apellido_187,10000187,Vendedor,2,2023-09-23
188,Empleado_188,Apellido_188,10000188,Cajero,13,2024-07-14
189,Empleado_189,Apellido_189,10000189,Vendedor,9,2023-02-19
190,Empleado_190,Apellido_190,10000190,Cajero,13,2020-12-31
191,Empleado_191,Apellido_191,10000191,Vendedor,12,2022-12-19
192,Empleado_192,Apellido_192,10000192,Cajero,14,2025-04-26
193,Empleado_193,Apellido_193,10000193,Vendedor,1,2021-02-11
194,Empleado_194,Apellido_194,10000194,Cajero,6,2021-08-10
195,Empleado_195,Apellido_195,10000195,Vendedor,12,2023-09-22
196,Empleado_196,Apellido_196,10000196,Cajero,8,2024-04-24
197,Empleado_197,Apellido_197,10000197,Vendedor,2,2023-04-04
198,Empleado_198,Apellido_198,10000198,Cajero,14,2024-06-10
199,Empleado_199,Apellido_199,10000199,Vendedor,7,2023-11-25
200,Empleado_200,Apellido_200,10000200,Cajero,5,2022-10-15
201,Empleado_201,Apellido_201,10000201,Vendedor,13,2020-10-12
202,Empleado_202,Apellido_202,10000202,Cajero,15,2021-05-25
203,Empleado_203,Apellido_203,10000203,Vendedor,8,2023-08-27
204,Empleado_204,Apellido_204,10000204,Cajero,10,2025-03-13
205,Empleado_205,Apellido_205,10000205,Vendedor,4,2021-05-01
206,Empleado_206,Apellido_206,10000206,Cajero,3,2022-09-13
207,Empleado_207,Apellido_207,10000207,Vendedor,11,2021-10-10
208,Empleado_208,Apellido_208,10000208,Cajero,9,2024-02-20
209,Empleado_209,Apellido_209,10000209,Vendedor,4,2022-06-10
210,Empleado_210,Apellido_210,10000210,Cajero,14,2022-09-28
211,Empleado_211,Apellido_211,10000211,Vendedor,4,2022-12-18
212,Empleado_212,Apellido_212,10000212,Cajero,15,2022-09-26
213,Empleado_213,Apellido_213,10000213,Vendedor,12,2022-04-11
214,Empleado_214,Apellido_214,10000214,Cajero,12,2022-11-13
215,Empleado_215,Apellido_215,10000215,Vendedor,10,2021-03-11
216,Empleado_216,Apellido_216,10000216,Cajero,3,2021-01-09
217,Empleado_217,Apellido_217,10000217,Vendedor,7,2024-01-09
218,Empleado_218,Apellido_218,10000218,Cajero,12,2025-02-17
219,Empleado_219,Apellido_219,10000219,Vendedor,5,2020-12-02
220,Empleado_220,Apellido_220,10000220,Cajero,7,2023-12-14
221,Empleado_221,Apellido_221,10000221,Vendedor,6,2024-07-14
222,Empleado_222,Apellido_222,10000222,Cajero,14,2022-10-12
223,Empleado_223,Apellido_223,10000223,Vendedor,7,2022-12-20
224,Empleado_224,Apellido_224,10000224,Cajero,10,2022-06-29
225,Empleado_225,Apellido_225,10000225,Vendedor,10,2022-07-16
226,Empleado_226,Apellido_226,10000226,Cajero,2,2023-06-19
227,Empleado_227,Apellido_227,10000227,Vendedor,12,2021-05-09
228,Empleado_228,Apellido_228,10000228,Cajero,2,2021-11-16
229,Empleado_229,Apellido_229,10000229,Vendedor,6,2025-04-19
230,Empleado_230,Apellido_230,10000230,Cajero,2,2022-11-11
231,Empleado_231,Apellido_231,10000231,Vendedor,13,2022-11-18
232,Empleado_232,Apellido_232,10000232,Cajero,1,2022-06-26
233,Empleado_233,Apellido_233,10000233,Vendedor,13,2024-01-17
234,Empleado_234,Apellido_234,10000234,Cajero,7,2025-03-22
235,Empleado_235,Apellido_235,10000235,Vendedor,5,2024-02-16
236,Empleado_236,Apellido_236,10000236,Cajero,4,2024-03-26
237,Empleado_237,Apellido_237,10000237,Vendedor,13,2023-05-25
238,Empleado_238,Apellido_238,10000238,Cajero,5,2020-11-23
239,Empleado_239,Apellido_239,10000239,Vendedor,8,2021-09-21
240,Empleado_240,Apellido_240,10000240,Cajero,10,2023-04-21
241,Empleado_241,Apellido_241,10000241,Vendedor,13,2023-11-05
242,Empleado_242,Apellido_242,10000242,Cajero,4,2024-06-10
243,Empleado_243,Apellido_243,10000243,Vendedor,6,2022-11-26
244,Empleado_244,Apellido_244,10000244,Cajero,3,2021-10-27
245,Empleado_245,Apellido_245,10000245,Vendedor,8,2021-02-09
246,Empleado_246,Apellido_246,10000246,Cajero,13,2024-03-30
247,Empleado_247,Apellido_247,10000247,Vendedor,3,2023-09-05
248,Empleado_248,Apellido_248,10000248,Cajero,9,2022-09-07
249,Empleado_249,Apellido_249,10000249,Vendedor,14,2022-03-11
250,Empleado_250,Apellido_250,10000250,Cajero,8,2023-07-14
251,Empleado_251,Apellido_251,10000251,Vendedor,7,2024-07-14
252,Empleado_252,Apellido_252,10000252,Cajero,7,2022-01-23
253,Empleado_253,Apellido_253,10000253,Vendedor,10,2025-01-28
254,Empleado_254,Apellido_254,10000254,Cajero,8,2024-07-29
255,Empleado_255,Apellido_255,10000255,Vendedor,2,2022-02-18
256,Empleado_256,Apellido_256,10000256,Cajero,7,2024-01-04
257,Empleado_257,Apellido_257,10000257,Vendedor,6,2023-07-09
258,Empleado_258,Apellido_258,10000258,Cajero,3,2023-07-24
259,Empleado_259,Apellido_259,10000259,Vendedor,4,2025-03-24
260,Empleado_260,Apellido_260,10000260,Cajero,4,2021-07-11
261,Empleado_261,Apellido_261,10000261,Vendedor,6,2024-07-01
262,Empleado_262,Apellido_262,10000262,Cajero,15,2024-09-01
263,Empleado_263,Apellido_263,10000263,Vendedor,2,2024-09-10
264,Empleado_264,Apellido_264,10000264,Cajero,10,2023-10-30
265,Empleado_265,Apellido_265,10000265,Vendedor,13,2025-03-17
266,Empleado_266,Apellido_266,10000266,Cajero,9,2025-02-24
267,Empleado_267,Apellido_267,10000267,Vendedor,2,2023-12-15
268,Empleado_268,Apellido_268,10000268,Cajero,13,2023-09-23
269,Empleado_269,Apellido_269,10000269,Vendedor,11,2021-05-30
270,Empleado_270,Apellido_270,10000270,Cajero,3,2025-08-11
271,Empleado_271,Apellido_271,10000271,Vendedor,5,2023-05-17
272,Empleado_272,Apellido_272,10000272,Cajero,13,2021-01-19
273,Empleado_273,Apellido_273,10000273,Vendedor,13,2025-08-02
274,Empleado_274,Apellido_274,10000274,Cajero,11,2021-08-22
275,Empleado_275,Apellido_275,10000275,Vendedor,11,2023-03-08
276,Empleado_276,Apellido_276,10000276,Cajero,1,2025-08-31
277,Empleado_277,Apellido_277,10000277,Vendedor,15,2023-07-17
278,Empleado_278,Apellido_278,10000278,Cajero,14,2022-03-12
279,Empleado_279,Apellido_279,10000279,Vendedor,2,2025-06-10
280,Empleado_280,Apellido_280,10000280,Cajero,4,2023-03-06
281,Empleado_281,Apellido_281,10000281,Vendedor,4,2023-09-02
282,Empleado_282,Apellido_282,10000282,Cajero,15,2025-02-04
283,Empleado_283,Apellido_283,10000283,Vendedor,9,2025-07-27
284,Empleado_284,Apellido_284,10000284,Cajero,13,2024-09-11
285,Empleado_285,Apellido_285,10000285,Vendedor,13,2020-12-05
286,Empleado_286,Apellido_286,10000286,Cajero,1,2024-03-18
287,Empleado_287,Apellido_287,10000287,Vendedor,13,2025-06-26
288,Empleado_288,Apellido_288,10000288,Cajero,5,2022-10-21
289,Empleado_289,Apellido_289,10000289,Vendedor,6,2022-06-23
290,Empleado_290,Apellido_290,10000290,Cajero,10,2022-07-23
291,Empleado_291,Apellido_291,10000291,Vendedor,15,2024-07-31
292,Empleado_292,Apellido_292,10000292,Cajero,7,2025-04-11
293,Empleado_293,Apellido_293,10000293,Vendedor,5,2022-06-01
294,Empleado_294,Apellido_294,10000294,Cajero,7,2022-11-08
295,Empleado_295,Apellido_295,10000295,Vendedor,14,2024-12-30
296,Empleado_296,Apellido_296,10000296,Cajero,4,2021-04-22
297,Empleado_297,Apellido_297,10000297,Vendedor,3,2021-01-29
298,Empleado_298,Apellido_298,10000298,Cajero,9,2024-07-13
299,Empleado_299,Apellido_299,10000299,Vendedor,13,2023-02-17
300,Empleado_300,Apellido_300,10000300,Cajero,2,2025-02-19
301,Empleado_301,Apellido_301,10000301,Vendedor,3,2024-05-04
302,Empleado_302,Apellido_302,10000302,Cajero,12,2023-11-11
303,Empleado_303,Apellido_303,10000303,Vendedor,8,2020-10-17
304,Empleado_304,Apellido_304,10000304,Cajero,3,2024-08-07
305,Empleado_305,Apellido_305,10000305,Vendedor,14,2024-05-03
306,Empleado_306,Apellido_306,10000306,Cajero,7,2021-07-19
307,Empleado_307,Apellido_307,10000307,Vendedor,12,2022-11-13
308,Empleado_308,Apellido_308,10000308,Cajero,12,2023-09-02
309,Empleado_309,Apellido_309,10000309,Vendedor,7,2022-07-04
310,Empleado_310,Apellido_310,10000310,Cajero,2,2022-11-03
311,Empleado_311,Apellido_311,10000311,Vendedor,2,2024-11-30
312,Empleado_312,Apellido_312,10000312,Cajero,6,2024-06-23
313,Empleado_313,Apellido_313,10000313,Vendedor,10,2021-03-22
314,Empleado_314,Apellido_314,10000314,Cajero,3,2021-06-13
315,Empleado_315,Apellido_315,10000315,Vendedor,10,2022-05-05
316,Empleado_316,Apellido_316,10000316,Cajero,3,2022-02-28
317,Empleado_317,Apellido_317,10000317,Vendedor,5,2024-04-24
318,Empleado_318,Apellido_318,10000318,Cajero,2,2023-08-11
319,Empleado_319,Apellido_319,10000319,Vendedor,11,2025-03-06
320,Empleado_320,Apellido_320,10000320,Cajero,13,2022-04-03
321,Empleado_321,Apellido_321,10000321,Vendedor,2,2022-10-29
322,Empleado_322,Apellido_322,10000322,Cajero,5,2025-02-20
323,Empleado_323,Apellido_323,10000323,Vendedor,3,2021-05-11
324,Empleado_324,Apellido_324,10000324,Cajero,14,2020-12-02
325,Empleado_325,Apellido_325,10000325,Vendedor,9,2024-05-24
326,Empleado_326,Apellido_326,10000326,Cajero,4,2025-06-12
327,Empleado_327,Apellido_327,10000327,Vendedor,4,2021-10-03
328,Empleado_328,Apellido_328,10000328,Cajero,12,2022-12-28
329,Empleado_329,Apellido_329,10000329,Vendedor,10,2023-04-22
330,Empleado_330,Apellido_330,10000330,Cajero,4,2023-11-25
331,Empleado_331,Apellido_331,10000331,Vendedor,10,2021-01-04
332,Empleado_332,Apellido_332,10000332,Cajero,15,2023-05-08
333,Empleado_333,Apellido_333,10000333,Vendedor,14,2022-07-24
334,Empleado_334,Apellido_334,10000334,Cajero,14,2021-05-04
335,Empleado_335,Apellido_335,10000335,Vendedor,7,2021-11-28
336,Empleado_336,Apellido_336,10000336,Cajero,9,2022-11-16
337,Empleado_337,Apellido_337,10000337,Vendedor,3,2021-06-04
338,Empleado_338,Apellido_338,10000338,Cajero,11,2022-12-03
339,Empleado_339,Apellido_339,10000339,Vendedor,10,2020-10-05
340,Empleado_340,Apellido_340,10000340,Cajero,3,2024-04-09
341,Empleado_341,Apellido_341,10000341,Vendedor,5,2023-04-23
342,Empleado_342,Apellido_342,10000342,Cajero,4,2023-04-10
343,Empleado_343,Apellido_343,10000343,Vendedor,3,2023-02-18
344,Empleado_344,Apellido_344,10000344,Cajero,10,2022-10-10
345,Empleado_345,Apellido_345,10000345,Vendedor,4,2025-07-11
346,Empleado_346,Apellido_346,10000346,Cajero,9,2023-10-03
347,Empleado_347,Apellido_347,10000347,Vendedor,10,2023-05-02
348,Empleado_348,Apellido_348,10000348,Cajero,14,2021-06-22
349,Empleado_349,Apellido_349,10000349,Vendedor,8,2020-10-13
350,Empleado_350,Apellido_350,10000350,Cajero,10,2023-02-18
351,Empleado_351,Apellido_351,10000351,Vendedor,6,2025-06-27
352,Empleado_352,Apellido_352,10000352,Cajero,10,2021-05-28
353,Empleado_353,Apellido_353,10000353,Vendedor,10,2023-05-03
354,Empleado_354,Apellido_354,10000354,Cajero,14,2024-05-22
355,Empleado_355,Apellido_355,10000355,Vendedor,3,2023-03-23
356,Empleado_356,Apellido_356,10000356,Cajero,5,2023-08-22
357,Empleado_357,Apellido_357,10000357,Vendedor,14,2024-09-24
358,Empleado_358,Apellido_358,10000358,Cajero,3,2021-08-25
359,Empleado_359,Apellido_359,10000359,Vendedor,10,2025-04-03
360,Empleado_360,Apellido_360,10000360,Cajero,3,2022-11-28
361,Empleado_361,Apellido_361,10000361,Vendedor,12,2020-10-26
362,Empleado_362,Apellido_362,10000362,Cajero,8,2025-08-28
363,Empleado_363,Apellido_363,10000363,Vendedor,2,2023-04-28
364,Empleado_364,Apellido_364,10000364,Cajero,12,2023-08-03
365,Empleado_365,Apellido_365,10000365,Vendedor,11,2021-07-01
366,Empleado_366,Apellido_366,10000366,Cajero,10,2020-10-31
367,Empleado_367,Apellido_367,10000367,Vendedor,4,2025-03-22
368,Empleado_368,Apellido_368,10000368,Cajero,14,2025-03-04
369,Empleado_369,Apellido_369,10000369,Vendedor,5,2025-05-16
370,Empleado_370,Apellido_370,10000370,Cajero,11,2021-02-16
371,Empleado_371,Apellido_371,10000371,Vendedor,1,2021-06-17
372,Empleado_372,Apellido_372,10000372,Cajero,10,2023-11-29
373,Empleado_373,Apellido_373,10000373,Vendedor,13,2022-09-07
374,Empleado_374,Apellido_374,10000374,Cajero,9,2020-12-07
375,Empleado_375,Apellido_375,10000375,Vendedor,12,2024-09-20
376,Empleado_376,Apellido_376,10000376,Cajero,12,2024-12-14
377,Empleado_377,Apellido_377,10000377,Vendedor,9,2023-06-25
378,Empleado_378,Apellido_378,10000378,Cajero,15,2020-10-06
379,Empleado_379,Apellido_379,10000379,Vendedor,14,2023-11-03
380,Empleado_380,Apellido_380,10000380,Cajero,14,2024-05-21
381,Empleado_381,Apellido_381,10000381,Vendedor,15,2023-05-31
382,Empleado_382,Apellido_382,10000382,Cajero,6,2024-07-03
383,Empleado_383,Apellido_383,10000383,Vendedor,3,2023-07-01
384,Empleado_384,Apellido_384,10000384,Cajero,3,2022-04-03
385,Empleado_385,Apellido_385,10000385,Vendedor,2,2020-10-03
386,Empleado_386,Apellido_386,10000386,Cajero,7,2020-12-01
387,Empleado_387,Apellido_387,10000387,Vendedor,2,2023-02-21
388,Empleado_388,Apellido_388,10000388,Cajero,13,2021-11-29
389,Empleado_389,Apellido_389,10000389,Vendedor,2,2021-02-21
390,Empleado_390,Apellido_390,10000390,Cajero,3,2021-06-23
391,Empleado_391,Apellido_391,10000391,Vendedor,4,2021-12-16
392,Empleado_392,Apellido_392,10000392,Cajero,13,2024-08-23
393,Empleado_393,Apellido_393,10000393,Vendedor,8,2024-10-28
394,Empleado_394,Apellido_394,10000394,Cajero,14,2022-11-23
395,Empleado_395,Apellido_395,10000395,Vendedor,6,2023-07-29
396,Empleado_396,Apellido_396,10000396,Cajero,5,2021-05-02
397,Empleado_397,Apellido_397,10000397,Vendedor,11,2022-07-02
398,Empleado_398,Apellido_398,10000398,Cajero,6,2021-05-27
399,Empleado_399,Apellido_399,10000399,Vendedor,12,2020-10-30
400,Empleado_400,Apellido_400,10000400,Cajero,6,2024-03-26
401,Empleado_401,Apellido_401,10000401,Vendedor,14,2024-05-21
402,Empleado_402,Apellido_402,10000402,Cajero,2,2022-02-12
403,Empleado_403,Apellido_403,10000403,Vendedor,10,2024-07-13
